Cluster,Identifier
257,4EXP_1_X_A
257,3ejj_B
257,4dkd_B
258,5jke_B
258,5f4e_B
259,4m6b_B
260,5nvn_B
261,1nvu_B
262,3uz0_B
263,6sak_B
264,4g6f_B
265,4yeb_B
266,6og4_B
267,5xda_B
268,2phe_B
269,1t5z_B
270,5glh_B
271,6uys_B
272,4yj4_B
272,2yq7_B
273,1fg9_B
274,5szi_B
274,5szj_B
275,3v1c_B
276,4i2x_B
277,5dcq_B
278,6isu_B
278,5ohp_B
278,2y5b_B
278,5gvi_B
278,1p3q_B
278,3znz_B
279,1vyt_B
280,3gqi_B
281,3sku_B
282,2k3u_B
283,3o6q_B
284,5hdq_B
285,5ft8_B
286,6s29_B
287,2f4m_B
288,3B9F_1_I_H
288,1oyh_B
289,6I3F_1_B_A
290,1vrk_B
291,3cqg_B
291,3cqc_B
292,5JPN_1_C_B
293,4pc0_B
293,4pbz_B
294,3alz_B
295,4cvw_B
296,8C7H_1_C_I
297,6akm_B
298,5ghw_B
299,2v9t_B
300,1t01_B
300,1syq_B
301,3eg5_B
302,6oqk_B
302,6oqj_B
303,5o90_B
304,5bn5_B
305,4an7_B
305,1avx_B
305,1ava_B
305,3bx1_B
305,6dwh_B
305,6dwf_B
306,4g6m_B
306,4g6j_B
306,5bvp_B
307,4ml7_B
308,4yl8_B
309,3ma2_B
309,2j0t_B
310,3zv0_B
311,5tzn_B
312,1jiw_B
313,3ve0_B
314,2wy8_B
315,3vux_B
316,5w9a_B
317,2mj5_B
318,4DEP_1_C_B
319,3tnf_B
320,3im4_B
321,2wg4_B
321,2wfx_B
321,2wg3_B
322,3mj9_B
323,2ma9_B
324,5jjd_B
325,2kwj_B
326,3b4v_B
327,3a4s_B
328,3lb6_B
328,3bpn_B
328,5E4E_1_C_B
329,4p3y_B
330,5ock_B
331,2roz_B
332,5n88_B
332,2b4j_B
333,4m1l_B
334,4a94_B
334,5MRV_1_C_A
335,2n73_B
336,5KY8_1_A_B
336,5KY2_1_A_B
336,5KY7_1_A_B
337,6mvl_B
338,5lz3_B
339,5otj_B
340,2hsq_B
340,2ibf_B
341,1pxv_B
342,4u6h_B
343,6ib8_B
344,4g6u_B
344,4zqu_B
345,1t63_B
346,6bx8_B
346,5nmv_B
346,3p95_B
346,2ftm_B
346,4dg4_B
346,3p92_B
346,1bth_B
346,2r9p_B
346,3fp6_B
346,2ptc_B
346,2ftl_B
346,1f5r_B
346,1fy8_B
346,3u1j_B
346,3tgk_B
346,1f7z_B
346,2ijo_B
346,1eaw_B
346,4u30_B
347,1O7D_1_C_D
348,4f48_B
349,5bt1_B
349,4wnn_B
350,5h3j_B
351,5w3x_B
352,4peq_B
352,1dfj_B
352,3tsr_B
353,1O7D_1_D_C
354,6WEO_1_Y_Z
354,3dgc_B
355,3tei_B
355,4h3p_B
355,5v62_B
356,6gtq_B
357,6L8Q_1_D_C
357,4QZV_1_B_A
357,8WKU_1_B_A
357,4zpt_B
357,5do2_B
357,4KR0_1_B_A
357,5zxv_B
357,6L8Q_1_B_A
357,4zs6_B
358,8FBW_1_D_C
358,6BP2_1_L_A
358,6WAS_1_L_J
358,5W6G_1_L_A
358,8CIN_1_K_C
358,8CIN_1_F_B
358,8CIN_1_L_A
358,6CH7_1_E_B
358,5V7J_1_E_B
358,5UTF_1_E_B
358,5FYK_1_E_B
358,5FYJ_1_E_B
358,5UTY_1_E_B
358,5U7M_1_E_B
358,8HC4_1_M_C
358,6MCO_1_E_B
358,6UTK_1_E_T
358,5FYL_1_E_B
358,5V7J_1_E_G
358,5UM8_1_E_B
358,7KMD_1_E_T
358,8HC4_1_O_A
358,4TVP_1_E_B
358,5U7O_1_E_B
358,8HC4_1_E_B
358,7Q0I_1_L_C
358,5T33_1_L_G
358,5VK2_1_L_a
358,6VY6_1_L_A
358,6P95_1_E_a
358,6P95_1_G_b
358,7BEH_1_L_H
358,6P95_1_L_c
358,6CH7_1_R_G
358,6V8Z_1_Q_M
358,6MUF_1_L_G
358,6NNF_1_L_G
358,6MDT_1_L_G
358,5CEZ_1_L_G
358,6WIX_1_L_G
358,6W03_1_L_G
358,6V8Z_1_E_A
358,5W6D_1_L_G
358,6MTN_1_L_G
358,6MUG_1_L_G
358,6VZI_1_L_G
358,5VK2_1_G_b
358,6MCO_1_L_G
358,5V7J_1_L_G
358,5T3Z_1_L_G
358,6MTJ_1_L_G
358,5VK2_1_E_c
358,6MU6_1_L_G
358,5UM8_1_L_G
358,6V8Z_1_K_G
358,7UCF_1_L_G
358,6CK9_1_L_G
358,5FYK_1_L_G
358,7KMD_1_L_G
358,6URM_1_L_H
358,5FYL_1_L_G
358,4TVP_1_L_G
358,6NM6_1_L_G
358,8D4R_1_L_G
358,4R2G_1_P_E
358,5FYJ_1_L_G
358,6B0N_1_L_G
358,6NNJ_1_L_G
358,7Y0V_1_L_R
358,6URM_1_E_D
358,5UTY_1_L_G
358,5U7O_1_L_G
358,3UJI_1_L_H
358,5UTF_1_L_G
358,5U7M_1_L_G
358,4JY4_1_A_B
358,4FQC_1_L_H
358,4LSU_1_L_G
358,7UCF_1_E_G
358,7SX7_1_L_G
358,6OZ3_1_L_G
358,6OZ2_1_L_G
358,7SX6_1_L_G
358,5T3Z_1_E_G
358,7PQZ_1_B_E
358,5FYK_1_E_G
358,6VY5_1_L_A
358,6B0N_1_E_G
358,1TCR_1_B_A
358,1NFD_1_D_C
358,1ktk_B
358,4HLZ_1_L_F
358,7C94_1_A_C
358,6QEX_1_B_A
358,6KX1_1_B_C
358,7SYZ_1_L_A
358,8ST2_1_F_C
358,6CNJ_1_J_E
358,6CNJ_1_H_B
358,8ST1_1_F_C
358,7SYY_1_L_A
358,6CNK_1_F_C
358,6CNK_1_J_E
358,6CNJ_1_F_C
358,8ST2_1_J_E
358,8ST1_1_J_E
358,3S35_1_L_X
358,2G5B_1_A_B
358,3IET_1_C_Q
358,5T78_1_A_F
358,6BDZ_1_L_H
358,7QU1_1_B_C
358,3IET_1_A_X
358,5C0R_1_L_A
358,2FBJ_1_L_H
358,4QWW_1_E_A
358,4QWW_1_C_B
358,7JKT_1_L_G
358,5EN2_1_B_C
358,4HLZ_1_H_B
358,5NST_1_A_B
358,7JKS_1_L_G
358,7ENF_1_O_C
358,7WUE_1_D_C
358,8T1G_1_K_A
358,6E3H_1_L_A
358,4JZJ_1_L_C
358,6ZEC_1_L_H
358,6XCJ_1_L_G
358,6BF4_1_C_A
358,8ACI_1_L_A
358,7MZK_1_M_B
358,4x7s_B
358,5VGJ_1_L_G
358,8T1G_1_I_C
358,4YE4_1_L_G
358,7LL2_1_J_C
358,7LL2_1_L_A
358,7LM8_1_N_A
358,7VAC_1_A_G
358,8T1G_1_L_E
358,7LL2_1_M_E
358,7ZWM_1_E_A
358,7ZXF_1_E_A
358,7ZWM_1_J_F
358,7Q9F_1_F_B
358,7Q6E_1_K_C
358,8SIQ_1_N_A
358,7Q9F_1_K_C
358,7Q9F_1_L_A
358,7Q6E_1_L_A
358,8CBF_1_B_E
358,7Q0H_1_B_E
358,8QRF_1_B_E
358,7LM9_1_L_A
358,7Q0G_1_B_E
358,7ARN_1_L_H
358,8CBE_1_B_E
358,7Q6E_1_F_B
358,6WJ1_1_I_B
358,8ACF_1_L_A
358,6GFE_1_L_H
358,3ULU_1_E_A
358,6WJ1_1_K_D
358,5TLK_1_C_X
358,6Q20_1_L_A
358,6IUV_1_L_A
358,6Q1Z_1_L_A
358,3ULV_1_E_A
358,8D7E_1_G_C
358,7MW2_1_L_B
358,7MW2_1_E_C
358,7MW2_1_G_A
358,5K9K_1_B_I
358,5TLJ_1_C_X
358,3SDY_1_L_B
358,5VEB_1_B_X
358,5VOB_1_L_D
358,6IUT_1_L_A
358,5KAN_1_K_A
358,7S8H_1_L_a
358,5CJX_1_L_B
358,8DF5_1_D_S
358,5CJX_1_E_X
358,8HWS_1_J_A
358,6W16_1_L_F
358,8HLC_1_M_B
358,7MXD_1_Y_F
358,7Y0C_1_B_R
358,7LL1_1_F_C
358,8G4P_1_B_A
358,6MEI_1_L_C
358,6P91_1_L_a
358,8HLC_1_N_C
358,7LL1_1_L_A
358,7LL1_1_K_G
358,7BEP_1_L_E
358,3ULV_1_L_A
358,3ULU_1_L_A
358,6BKC_1_L_E
358,8DF5_1_B_R
358,8HLC_1_L_A
358,2jix_B
358,4JM2_1_B_E
358,4OQT_1_L_A
358,5CJX_1_C_J
358,6WO4_1_L_E
358,6UYF_1_L_E
358,4RWY_1_L_A
358,8TXT_1_I_D
358,7LRS_1_E_D
358,6MEJ_1_L_C
358,7R6W_1_B_R
358,7XSW_1_L_R
358,8TG9_1_F_B
358,8TY7_1_L_B
358,6P67_1_B_K
358,7LRT_1_E_D
358,8FSJ_1_L_E
358,5CZX_1_L_A
358,5UEM_1_L_G
358,7TN0_1_A_I
358,7WG3_1_A_J
358,8JVA_1_A_F
358,8W0V_1_L_C
358,6TYB_1_L_G
358,8TXT_1_L_F
358,4KVN_1_L_A
358,7L0N_1_B_R
358,6V4N_1_G_M
358,3p0y_B
358,8TXT_1_K_B
358,6V4N_1_L_N
358,6UUD_1_L_H
358,6V4N_1_B_I
358,7WG3_1_C_K
358,6MEH_1_L_C
358,8TG9_1_L_A
358,7WG3_1_B_I
358,6V4N_1_E_W
358,8W0W_1_L_C
358,7JX3_1_B_R
358,7XJF_1_B_C
358,7V7K_1_A_C
358,5W4L_1_E_G
358,8TTW_1_H_F
358,4RX4_1_L_G
358,7UPY_1_G_A
358,7UPW_1_E_A
358,7UPY_1_L_B
358,8TTW_1_L_J
358,6WOQ_1_K_E
358,6X4T_1_F_A
358,8TTW_1_D_B
358,7UPX_1_L_A
358,8PE9_1_L_A
358,7UPW_1_L_C
358,7XCO_1_N_B
358,7UPY_1_E_C
358,6WO5_1_L_E
358,7UPW_1_G_B
358,8Y6A_1_D_B
358,7XCO_1_L_A
358,7X1M_1_B_M
358,7XCK_1_B_M
358,8DWA_1_L_A
358,6BKB_1_L_E
358,4MWF_1_B_D
358,4YDL_1_L_G
358,4XNY_1_L_G
358,5F96_1_L_G
358,4XMP_1_L_G
358,6UYM_1_L_E
358,5TE4_1_L_G
358,4LST_1_L_G
358,4OM1_1_L_G
358,5F9O_1_L_G
358,5TE6_1_L_G
358,4J6R_1_L_G
358,5F9W_1_C_A
358,7TYV_1_E_a
358,4JB9_1_L_G
358,4S1Q_1_L_G
358,5HJ3_1_J_D
358,7TYV_1_L_c
358,7TYV_1_K_b
358,4LSQ_1_L_G
358,4LSS_1_L_G
358,4YDI_1_L_G
358,4XVT_1_L_G
358,3SE8_1_L_G
358,6V8X_1_D_A
358,4OM0_1_L_G
358,6V8X_1_H_E
358,4OLV_1_L_G
358,6MFT_1_L_G
358,3IU3_1_B_K
358,4OLY_1_L_G
358,3SE9_1_L_G
358,4S1S_1_L_G
358,4OLX_1_L_G
358,4OLU_1_L_G
358,6V8Z_1_R_M
358,4LSP_1_L_G
358,4JPW_1_L_G
358,6V8Z_1_F_A
358,4OLW_1_L_G
358,4LSR_1_L_G
358,6V8X_1_L_I
358,6V8Z_1_L_G
358,3NGB_1_L_G
358,4OLZ_1_L_G
358,4JKP_1_L_G
358,5CD5_1_D_A
358,4DKF_1_M_B
358,4XNZ_1_L_G
358,5KZC_1_L_A
358,5W1K_1_A_P
358,4JPV_1_L_G
358,7MXD_1_D_A
358,7MXD_1_K_F
358,7MXD_1_U_G
358,4LSV_1_L_G
358,7UL7_1_F_b
